precio,direccion,recamaras,banos,m2
35500 pesos mexicanos,,,,
2050182 pesos mexicanos,"Mapimí 41, Valle Gómez, Ciudad De México, Valle Gómez, Cuauhtémoc, Distrito Federal",1 a 2 dormitorios,1 a 2 baños,45 - 80 m² construidos
4080000 pesos mexicanos,"AV POPOCATÉPETL 243, SANTA CRUZ ATOYAC, BENITO JUÁREZ, CDMX., Santa Cruz Atoyac, Benito Juárez, Distrito Federal",2 recámaras,2 baños,70 - 71 m² construidos
3762000 pesos mexicanos,"AV CUAUHTÉMOC 184, CUAUHTÉMOC. CDMX., Doctores, Cuauhtémoc, Distrito Federal",1 recámara,1 baño,43 - 46 m² construidos
3148390 pesos mexicanos,"Ignacio Allende 314, San Joaquín, Ciudad De México, San Joaquín, Miguel Hidalgo, Distrito Federal",2 recámaras,2 baños,82 - 89 m² construidos
4681442 pesos mexicanos,"Torre A, Calz Melchor Ocampo 193, Verónica Anzúres, Ciudad De México, Anzures, Miguel Hidalgo, Distrito Federal",1 a 3 dormitorios,2 baños,61 - 106 m² construidos
5873758 pesos mexicanos,"Fray Angelico 34, Nonoalco, Benito Juárez, 03700 Ciudad De México, CDMX, Benito Juárez, Distrito Federal",2 recámaras,2 baños,69 - 83 m² construidos
1808875 pesos mexicanos,"Alberto Herrera 75, Aragón La Villa(Aragón), Gustavo A. Madero, 07000 Ciudad De México, CDMX, México, Gustavo A. Madero, Distrito Federal",1 a 2 dormitorios,1 a 2 baños,37 - 61 m² construidos
2569436 pesos mexicanos,"Av Chapultepec 49, Colonia Centro, Roma Nte., Cuauhtémoc, 06040 Ciudad De México, CDMX, México, Roma Norte, Cuauhtémoc, Distrito Federal",1 a 2 dormitorios,1 a 3 baños,30 - 68 m² construidos
2906895 pesos mexicanos,"Ignacio Manuel Altamirano 35, San Rafael, Cuauhtémoc, 06470 Ciudad De México, CDMX, México, San Rafael, Cuauhtémoc, Distrito Federal",1 a 2 dormitorios,1 a 2 baños,38 - 72 m² construidos
3227973 pesos mexicanos,"Obrero Mundial 114, Colonia Valle Centro,, Benito Juárez, Distrito Federal",1 a 2 dormitorios,1 a 2 baños,51 - 92 m² construidos
3300926 pesos mexicanos,"Xochicalco 26, Narvarte Poniente, Benito Juárez, 03000 Ciudad De México, CDMX, México, Benito Juárez, Distrito Federal",1 a 2 dormitorios,1 a 2 baños,58 - 70 m² construidos
6300000 pesos mexicanos,"Av. Universidad, Col Del Valle Sur, Ciudad De México, Colonia Del Valle, Benito Juárez, Distrito Federal",1 recámara,1 baño,113 m² construidos
4400000 pesos mexicanos,"Av. Río Churubusco No. 601, Col. Xoco, Alcaldía Benito Juárez, Ciudad De México., Benito Juárez, Distrito Federal",1 recámara,1 baño,69 m² construidos
2862750 pesos mexicanos,"Pino 588, Arenal, Ciudad De México, San Francisco Xocotitla, Azcapotzalco, Distrito Federal",2 a 3 dormitorios,1 a 2 baños,61 - 73 m² construidos
5100000 pesos mexicanos,"Calzada Gral. Mariano Escobedo S/n, Entre Lago Alberto Y Laguna De Mayrán, Col. Anáhuac, C.P. 11490, Alcaldía Miguel Hidalgo, CDMX., Miguel Hidalgo, Distrito Federal",1 recámara,1 baño,36 m² construidos
7000000 pesos mexicanos,"Lafragua #13, Col. Tabacalera, C.P. 06030, Alcaldía Cuauhtémoc, CDMX., Cuauhtémoc, Distrito Federal",1 recámara,1 baño,39 m² construidos
5000000 pesos mexicanos,"Álvaro Obregón 242, Col. Roma Norte, C.P. 06700, Alcaldía Cuauhtémoc, CDMX., Alvaro Obregón, Distrito Federal",1 recámara,1 baño,44 m² construidos
5400000 pesos mexicanos,"Av. P.º De La Reforma 150, Juárez, Cuauhtémoc, 06600 Ciudad De México, CDMX, Mexico, Juárez, Cuauhtémoc, Distrito Federal",Monoambiente a 2 dormitorios,1 a 2 baños,30 - 104 m² construidos
14950000 pesos mexicanos,"Av. P.º De La Reforma 336, Juárez, Cuauhtémoc, 06600 Juárez, CDMX, Mexico, Juárez, Cuauhtémoc, Distrito Federal",1 a 3 dormitorios,2 a 4 baños,76 - 497 m² construidos
3690000 pesos mexicanos,"Monte Alegre 22, Portales Oriente, Ciudad De México, Portales Oriente, Benito Juárez, Distrito Federal",2 recámaras,2 baños,61 m² construidos
8000000 pesos mexicanos,"Carretera México-Toluca 5804, Col. Contadero, C.P. 05500, Alcaldía Cuajimalpa, CDMX., Cuajimalpa De Morelos, Distrito Federal",2 recámaras,2 baños,95 m² construidos
4495890 pesos mexicanos,"Boulevard Adolfo López Mateos No. 68, Colonia Merced Gómez, Alcaldía Álvaro Obregón, C.P. 01600, Alvaro Obregón, Distrito Federal",2 a 3 dormitorios,1 a 2 baños,60 - 94 m² construidos
2824900 pesos mexicanos,"Guadalupe Inn, Mexico City, Guadalupe Inn, Alvaro Obregón, Distrito Federal",1 a 2 dormitorios,1 a 2 baños,42 - 89 m² construidos
5766000 pesos mexicanos,"Cam. Real De Minas 7, Lomas De Los Ángeles Tetelpan, Ciudad De México, Camino Real De Tetelpan, Alvaro Obregón, Distrito Federal",2 a 3 dormitorios,2 baños,111 - 130 m² construidos
4897500 pesos mexicanos,"Av. División Del Nte., Gral Anaya, Ciudad De México, General Pedro Maria Anaya, Benito Juárez, Distrito Federal",2 recámaras,2 baños,78 - 87 m² construidos
6962600 pesos mexicanos,"Amp Granada, Mexico City, Ampliación Granada, Miguel Hidalgo, Distrito Federal",2 recámaras,2 baños,87 m² construidos
5888000 pesos mexicanos,"Barranca Del Muerto, Merced Gómez, Ciudad De México, Merced Gómez, Alvaro Obregón, Distrito Federal",2 recámaras,2 baños,95 - 153 m² construidos
4236500 pesos mexicanos,"Obrero Mundial, Álamos, Ciudad De México, Alamos, Benito Juárez, Distrito Federal",2 recámaras,2 baños,69 m² construidos
25000 pesos mexicanos,"Hipódromo, Cuauhtémoc, Distrito Federal",1 recámara,1 baño,50 m² construidos
6200000 pesos mexicanos,"Polanco, Miguel Hidalgo, Distrito Federal",2 recámaras,1 baño,70 m² construidos
2730000 pesos mexicanos,"Del Valle Sur, Benito Juárez, Distrito Federal",2 recámaras,1 baño,66 m² construidos
6990000 pesos mexicanos,"Nápoles, Benito Juárez, Distrito Federal",3 recámaras,2 baños,108 m² construidos
7300000 pesos mexicanos,"Xoco, Benito Juárez, Distrito Federal",2 recámaras,3 baños,150 m² construidos
3000000 pesos mexicanos,"Los Reyes, Coyoacán, Distrito Federal",3 recámaras,1 baño,76 m² construidos
8495000 pesos mexicanos,"Narvarte Poniente, Benito Juárez, Distrito Federal",3 recámaras,2 baños,150 m² construidos
6800000 pesos mexicanos,"Olivar De Los Padres, Alvaro Obregón, Distrito Federal",3 recámaras,2 baños,144 m² construidos
7500000 pesos mexicanos,"Letran Valle, Benito Juárez, Distrito Federal",2 recámaras,2 baños,108 m² construidos
5800000 pesos mexicanos,"Hipodromo Condesa, Cuauhtémoc, Distrito Federal",2 recámaras,2 baños,110 m² construidos
12700000 pesos mexicanos,"Contadero, Cuajimalpa De Morelos, Distrito Federal",3 recámaras,3 baños,160 m² construidos
91000 pesos mexicanos,"Del Valle Centro, Benito Juárez, Distrito Federal",2 recámaras,2 baños,231 m² construidos
13200000 pesos mexicanos,"Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal",3 recámaras,3 baños,314 m² construidos
11800000 pesos mexicanos,"Polanco, Miguel Hidalgo, Distrito Federal",2 recámaras,2 baños,200 m² construidos
2300000 pesos mexicanos,"Lomas Hermosa, Miguel Hidalgo, Distrito Federal",2 recámaras,1 baño,62 m² construidos
5900000 pesos mexicanos,"Tabacalera, Cuauhtémoc, Distrito Federal",1 recámara,2 baños,74 m² construidos
16000000 pesos mexicanos,"Chimalistac, Alvaro Obregón, Distrito Federal",4 recámaras,3 baños,433 m² construidos
7950000 pesos mexicanos,"Reforma Social, Miguel Hidalgo, Distrito Federal",2 recámaras,2 baños,108 m² construidos
3150000 pesos mexicanos,"Centro De La Ciudad De México Area 1, Cuauhtémoc, Distrito Federal",2 recámaras,1 baño,60 m² construidos
5950000 pesos mexicanos,"Mixcoac, Benito Juárez, Distrito Federal",3 recámaras,4 baños,157 m² construidos
